project,sha,author,commit_date,is_bug
'testproject','d03e2a1da5cd2e15cd3c343bfabf96deed4dc66e','Kevin Sawicki','2012-10-05','False'
'testproject','d7d53272200dc927bb840f313886c27248f38c50','Kevin Sawicki','2012-10-05','False'
'testproject','ddcc38b076fda727d320a54f3a61f6a9586a974b','Kevin Sawicki','2012-10-05','False'
'testproject','13c6a7ec155b5905aeb6e110762d8388376da17f','Trevor Basinger','2012-10-05','True'
'testproject','7fb992e8a8bfda0b61afa70f6a55e547267ad51f','Kevin Sawicki','2012-10-04','False'
'testproject','d3a575acac8bcb07efb64fa91c47430d21411c9e','Kevin Sawicki','2012-10-04','False'
'testproject','33b3883bb894bb4f8ee759dbfd0e4ed971184c29','Kevin Sawicki','2012-10-04','False'
'testproject','26a23804cdde5a1033ffbed11576f6c3350f348b','Kevin Sawicki','2012-10-04','False'
'testproject','f8de53066c7c5a62c44a54d0b86a0e7cd45c43ed','Kevin Sawicki','2012-10-04','False'
'testproject','fb80d0f842ada5f967b6b6af56d55d19233b3241','Kevin Sawicki','2012-10-04','False'
'testproject','68ceff7bab56f8173718049008355133f77228fa','Kevin Sawicki','2012-10-04','False'
'testproject','2c14ee792bb65ecc97f322920fa0e3b2930878ef','Kevin Sawicki','2012-10-04','False'
'testproject','2c3afe5e2e49b98bdae047e3a1cd409f8074e4d1','Kevin Sawicki','2012-10-04','False'
'testproject','22b9f5d574a98d2adbb608b351daec878e515ec9','Kevin Sawicki','2012-10-04','False'
'testproject','13c1793663a53bb8e672bd8491bfecae032a6f56','Kevin Sawicki','2012-10-04','False'
'testproject','620af048ca873a4c4fd448d4d7f2f66de39e1d6c','Kevin Sawicki','2012-10-04','False'
'testproject','0af80df2a3622479f855a39c35ec8ba1f4114e88','Kevin Sawicki','2012-10-04','False'
'testproject','89d685d98d7b649be4ece6104eff8f240a1320bb','Kevin Sawicki','2012-10-04','False'
'testproject','6750e6d77ecd58e97c8978ba0d834084c3978242','Kevin Sawicki','2012-10-04','False'
'testproject','ad32d270cb52e3feee4cee5f7aac8d78f515c754','Kevin Sawicki','2012-10-04','False'
'testproject','6d8e6fb9fe26c98333038691206d4e9c35de9914','Kevin Sawicki','2012-10-04','False'
'testproject','9733166f0dfdf75f0ec4f3f2cdefd7a4dbc28458','Kevin Sawicki','2012-10-04','False'
'testproject','5cecfa95c8ceb11f6808d1ac5b996e6c1dcb77b1','Kevin Sawicki','2012-10-04','False'
'testproject','4e2ec0da857647f5bc110d7be44b2305f826f335','Kevin Sawicki','2012-10-04','False'
'testproject','32f1f786907a8eaa32914077fded0de8993b3705','Artur Termenji','2012-10-04','False'
'testproject','90a94eeeb6eca13aad4849392dc39c6ccf943a0f','Kevin Sawicki','2012-10-03','True'
'testproject','e2aab77e7b0d520ef59a7ebf9d74ad2890cfa210','Kevin Sawicki','2012-09-26','False'
'testproject','0cddfdbfdc33ce361299158d7f1f5de3b276506b','Kevin Sawicki','2012-09-26','False'
'testproject','f3eb2c15e9529f0d782341b296c5c30b24da561e','Kevin Sawicki','2012-09-26','False'
'testproject','0c8955d145bc6925f97fabae322c7ac7e20840bd','Kevin Sawicki','2012-09-26','False'
'testproject','8a0d8ac52c55d436fa95c67f472b21129abfee02','Kevin Sawicki','2012-09-25','False'
'testproject','d050c05a8c2a12c6a61871b311192f79825a38d3','Kevin Sawicki','2012-09-25','False'
'testproject','08c6b48d8f24a80efa68b8957dc36865fbcc997c','Kevin Sawicki','2012-09-25','False'
'testproject','7ad549c1532fc661c37b7c970ce14b8a7fe3b9fa','Kevin Sawicki','2012-09-25','False'
'testproject','c71b4cc4a50dde7000ff2e1c65023b00e11ee65e','Kevin Sawicki','2012-09-25','False'
'testproject','bf019695fa7800ae590133f0238489ab56899366','Kevin Sawicki','2012-09-25','False'
'testproject','123b7e104c1683561dd55b3b2c626d47c7ca78ad','Kevin Sawicki','2012-09-25','False'
'testproject','d1fae5396f9d0857ed2075e03fe16a0067de8086','Kevin Sawicki','2012-09-24','False'
'testproject','889f0bac1b0b36e5db0d1dfc651183f4e530bd5d','Kevin Sawicki','2012-09-24','False'
'testproject','d58ec69ee6ca522e786259de38c5b8792343cd77','Kevin Sawicki','2012-09-24','False'
'testproject','36f5d842df16a45ce9aa06247ecd5a67f8c386a7','Kevin Sawicki','2012-09-24','False'
'testproject','bea5c05a98e517455027c09c6fc886771419723d','Kevin Sawicki','2012-09-17','False'
'testproject','8d1a5b867be475cb53a9a2a854d5faaa090333f3','Kevin Sawicki','2012-09-17','False'
'testproject','032392485facf67ce72fd3b3d743472a0d7645aa','Kevin Sawicki','2012-09-15','True'
'testproject','f88d80e7b0f11edc127ce889bf39359bf44d1c7e','Kevin Sawicki','2012-09-15','False'
'testproject','84413b0bb0d385fa101138d933c2dc02f517b943','Kevin Sawicki','2012-09-15','False'
'testproject','42554b4ec8d1f3db9556642b24df48aaf59b46a7','Kevin Sawicki','2012-09-12','False'
'testproject','f93dd1b7cfbb533e844c1998666d86a0e03e367f','Kevin Sawicki','2012-09-12','False'
'testproject','9c8afe9f05a0bcf0294027035cec0f610fe63999','Kevin Sawicki','2012-09-11','False'
