project, sha, language, file_name, is_test,bracket_diff,isExceptionPatch, method_name,total_add,total_del,throw Adds,catch Dels,throw Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,exception Adds,raise Dels
'testproject','34c028cb02bcd5706f8303b865725e5b263d2861','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','onListItemClick','4','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','34c028cb02bcd5706f8303b865725e5b263d2861','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','getErrorMessage','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','onCreate','9','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','onOptionsItemSelected','17','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','getContentView','2','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','getIcon','9','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','onNewIntent','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','handleIntent','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','search','4','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','configurePager','4','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchPagerAdapter.java','False','0','True','getPageTitle','1','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','cde7df7cd807f84c06eb3c24bbf645670edbdf30','java','app/src/main/java/com/github/mobile/ui/search/SearchRepositoryListFragment.java','False','0','True','onAttach','4','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','d0cea7c2ade744111050c915fb4b07665b6a9bea','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','updateHeader','3','2',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','d0cea7c2ade744111050c915fb4b07665b6a9bea','java','app/src/main/java/com/github/mobile/ui/issue/IssueFragment.java','False','0','True','shareIssue','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','b60bc6fd3d733a7ec5cf662fc2bb2017f8b7923b','java','app/src/main/java/com/github/mobile/ui/repo/RepositoryContributorsFragment.java','False','0','True','onListItemClick','12','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','719ebed483fff3ee0edb0ca64e7b8231dc02f582','java','app/src/main/java/com/github/mobile/ui/repo/RepositoryViewActivity.java','False','0','True','onOptionsItemSelected','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','719ebed483fff3ee0edb0ca64e7b8231dc02f582','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','bind','19','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','bd4742582fcec091301f9310b321d667b707e9de','java','app/src/main/java/com/github/mobile/core/commit/CommitUtils.java','False','0','True','getCommitterDate','2','2',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','bd4742582fcec091301f9310b321d667b707e9de','java','app/src/main/java/com/github/mobile/ui/commit/CommitDiffListFragment.java','False','0','True','addCommitDetails','1','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','bd4742582fcec091301f9310b321d667b707e9de','java','app/src/main/java/com/github/mobile/ui/commit/CommitDiffListFragment.java','False','0','True','showFileOptions','1','0',0,0,0,0,0,0,0,0,0,0,0,0
